,Crop,N,P,K
0,Rice,80,40,40
1,Jowar(Sorghum),80,40,40
2,Barley(JAV),70,40,45
3,Maize,80,40,20
4,Ragi( naachnnii),50,40,20
5,Chickpeas(Channa),40,60,80
6,French Beans(Farasbi),90,125,60
7,Fava beans (Papdi - Val),90,125,60
8,Lima beans(Pavta),40,60,20
9,Cluster Beans(Gavar),25,50,25
10,Soyabean,20,60,20
11,Black eyed beans( chawli),20,60,20
12,Kidney beans,20,60,20
13,pigeon peas(Toor Dal),20,60,20
14,Moth bean(Matki),20,40,20
15,Mung beans,20,40,20
16,Green Peas,40,35,55
17,Horse Gram(kulthi),20,60,20
18,Black Gram,40,60,20
19,Rapeseed (Mohri),50,40,20
20,Coriander seeds,90,20,20
21,Mustard seeds,100,30,15
22,sesame seed,30,15,30
23,Cumin seeds,90,60,20
24,Lentils(Masoor Dal),20,60,20
25,Brinjal,80,15,40
26,Beetroot,120,50,100
27,Bitter Gourd,60,10,20
28,Bottle Gourd,100,50,50
29,Capsicum,100,20,60
30,Cabbage,100,65,70
31,Carrot,40,45,60
32,Cauliflower,80,70,50
33,Cucumber,60,60,85
34,Coriander leaves,10,20,20
35,Curry leaves,20,20,20
36,Drumstick – moringa,40,20,10
37,Chili,120,20,80
38,Lady Finger,80,10,40
39,Mushroom,100,50,60
40,Onion,120,60,65
41,Potato,180,60,90
42,Pumpkin,80,50,30
43,Radish,25,100,50
44,Olive,100,60,30
45,Sweet Potato,90,20,120
46,Fenugreek Leaf(methi),30,25,40
47,Spinach,60,60,50
48,Ridgegourd,90,50,20
49,Gooseberry(Amla),20,50,20
50,Jambun(Syzygium cumini),10,10,10
51,Ziziphus mauritiana(Bor),20,10,10
52,Garcinia indica(kokam),40,25,50
53,Tamarind,20,15,25
54,Tapioca(Suran),50,50,50
55,Garlic,50,10,60
56,Lemon,20,10,10
57,Tomato,100,40,90
58,Ash Gourd,60,10,30
59,Pineapple,160,40,120
60,Pomegranate,20,10,40
61,Banana,100,75,50
62,Mango,20,20,30
63,Grapes,20,125,200
64,Jackfruit,75,40,50
65,Guava,50,50,50
